GB_index,Ni(J/m^2)
1,1.218
2,0.958
3,0.064
4,0.879
5,1.005
6,1.285
7,1.201
8,0.884
9,1.144
10,0.978
11,0.809
12,1.298
13,0.692
14,1.265
15,1.283
16,1.18
17,0.938
18,0.81
19,1.16
20,0.615
21,0.895
22,1.154
23,1.234
24,1.328
25,1.075
26,1.205
27,1.0
28,1.187
29,1.16
30,0.978
31,0.489
32,0.489
33,0.424
34,0.98
35,1.242
36,1.099
37,1.306
38,1.365
39,0.802
40,1.091
41,1.345
42,0.982
43,1.179
44,1.252
45,0.603
46,1.133
47,0.874
48,1.375
49,1.18
50,0.919
51,0.849
52,1.241
53,0.91
54,1.263
55,1.179
56,0.682
57,0.955
58,1.197
59,1.254
60,1.065
61,1.019
62,0.844
63,1.139
64,0.994
65,1.3
66,1.217
67,1.229
68,0.988
69,1.157
70,1.233
71,0.994
72,0.498
73,0.498
74,1.001
75,0.731
76,1.085
77,0.824
78,0.935
79,1.239
80,0.473
81,1.102
82,1.097
83,1.28
84,0.941
85,1.126
86,1.109
87,1.156
88,1.217
89,0.735
90,1.245
91,1.274
92,1.153
93,1.156
94,1.133
95,1.033
96,1.151
97,1.234
98,1.251
99,1.106
100,1.142
101,1.162
102,1.277
103,0.939
104,1.242
105,0.998
106,1.238
107,1.035
108,1.044
109,1.096
110,0.916
111,1.098
112,1.255
113,0.962
114,0.941
115,0.938
116,0.903
117,1.191
118,1.082
119,0.41
120,1.28
121,1.343
122,1.31
123,1.112
124,1.207
125,1.309
126,1.332
127,0.9
128,1.282
129,1.355
130,1.348
131,1.325
132,1.296
133,1.256
134,1.257
135,0.967
136,1.292
137,1.211
138,1.273
139,1.263
140,0.858
141,1.183
142,1.004
143,1.181
144,0.967
145,0.95
146,0.448
147,0.448
148,1.336
149,0.923
150,0.672
151,1.275
152,1.205
153,1.322
154,0.883
155,0.955
156,0.766
157,1.088
158,0.945
159,0.492
160,0.779
161,0.98
162,0.854
163,0.876
164,0.731
165,1.199
166,1.188
167,1.029
168,0.944
169,0.908
170,1.167
171,1.13
172,1.372
173,1.007
174,1.108
175,1.225
176,0.967
177,0.96
178,0.567
179,1.235
180,1.179
181,1.325
182,1.1
183,1.183
184,1.24
185,1.187
186,1.332
187,1.324
188,1.283
189,0.824
190,1.171
191,1.352
192,1.217
193,1.314
194,1.02
195,1.09
196,1.265
197,1.204
198,1.067
199,1.151
200,0.956
201,1.283
202,1.375
203,0.959
204,1.286
205,1.239
206,1.143
207,1.198
208,1.243
209,1.334
210,1.156
211,1.291
212,1.318
213,1.043
214,1.353
215,0.982
216,1.152
217,1.246
218,1.258
219,1.385
220,1.045
221,1.176
222,1.267
223,1.025
224,1.261
225,1.316
226,1.231
227,1.279
228,1.268
229,1.315
230,1.075
231,1.26
232,0.94
233,1.126
234,1.373
235,1.238
236,1.073
237,1.177
238,1.203
239,1.157
240,0.922
241,1.107
242,1.055
243,0.838
244,0.709
245,0.824
246,1.218
247,0.848
248,1.292
249,1.289
250,1.152
251,0.622
252,0.914
253,0.943
254,0.709
255,0.997
256,1.069
257,0.929
258,0.967
259,1.243
260,1.274
261,0.351
262,1.112
263,1.236
264,1.25
265,0.922
266,1.213
267,0.966
268,1.314
269,1.168
270,1.088
271,1.242
272,1.194
273,1.197
274,1.173
275,1.203
276,1.11
277,1.181
278,0.907
279,1.088
280,1.272
281,0.889
282,1.294
283,1.144
284,1.227
285,1.107
286,0.967
287,0.99
288,1.241
289,1.003
290,0.479
291,0.478
292,1.218
293,1.268
294,1.036
295,1.213
296,1.062
297,1.182
298,1.162
299,1.331
300,0.983
301,1.088
302,1.053
303,1.067
304,1.221
305,1.348
306,1.097
307,1.281
308,1.217
309,1.217
310,1.084
311,1.341
312,0.91
313,1.359
314,1.228
315,1.289
316,1.107
317,1.291
318,1.39
319,0.919
320,0.95
321,1.343
322,1.244
323,1.247
324,1.337
325,1.317
326,1.306
327,1.331
328,1.266
329,1.307
330,0.782
331,0.701
332,0.996
333,0.704
334,0.842
335,0.982
336,1.154
337,0.74
338,0.94
339,0.907
340,1.292
341,1.372
342,1.301
343,1.293
344,1.239
345,1.303
346,1.327
347,1.227
348,1.325
349,1.36
350,0.96
351,1.212
352,0.945
353,1.185
354,1.038
355,1.149
356,1.118
357,1.269
358,1.282
359,1.414
360,1.307
361,1.112
362,1.034
363,0.972
364,1.289
365,1.272
366,0.384
367,1.219
368,1.248
369,0.836
370,1.124
371,0.895
372,1.248
373,1.057
374,1.152
375,1.357
376,1.232
377,1.125
378,1.274
379,1.279
380,0.968
381,0.722
382,1.202
383,1.005
384,1.15
385,0.815
386,0.933
387,0.404
388,0.404
